sample	assembly	stage	descriptive_name
DRR032908	UCB_Xtro_10.0	st2	EXPANDE_st2_rep1
DRR032909	UCB_Xtro_10.0	st2	EXPANDE_st2_rep2
DRR032918	UCB_Xtro_10.0	st5	EXPANDE_st5_rep1
DRR032919	UCB_Xtro_10.0	st5	EXPANDE_st5_rep2
DRR032924	UCB_Xtro_10.0	st9	EXPANDE_st9_rep1
DRR032925	UCB_Xtro_10.0	st9	EXPANDE_st9_rep2
DRR032892	UCB_Xtro_10.0	st11	EXPANDE_st11_rep1
DRR032893	UCB_Xtro_10.0	st11	EXPANDE_st11_rep2
DRR032894	UCB_Xtro_10.0	st13	EXPANDE_st13_rep1
DRR032895	UCB_Xtro_10.0	st13	EXPANDE_st13_rep2
DRR032896	UCB_Xtro_10.0	st17	EXPANDE_st17_rep1
DRR032897	UCB_Xtro_10.0	st17	EXPANDE_st17_rep2
DRR032898	UCB_Xtro_10.0	st19	EXPANDE_st19_rep1
DRR032899	UCB_Xtro_10.0	st19	EXPANDE_st19_rep2
DRR032900	UCB_Xtro_10.0	st21	EXPANDE_st21_rep1
DRR032901	UCB_Xtro_10.0	st21	EXPANDE_st21_rep2
DRR032902	UCB_Xtro_10.0	st23	EXPANDE_st23_rep1
DRR032903	UCB_Xtro_10.0	st23	EXPANDE_st23_rep2
DRR032904	UCB_Xtro_10.0	st26	EXPANDE_st26_rep1
DRR032905	UCB_Xtro_10.0	st26	EXPANDE_st26_rep2
DRR032906	UCB_Xtro_10.0	st28	EXPANDE_st28_rep1
DRR032907	UCB_Xtro_10.0	st28	EXPANDE_st28_rep2
DRR032910	UCB_Xtro_10.0	st31	EXPANDE_st31_rep1
DRR032911	UCB_Xtro_10.0	st31	EXPANDE_st31_rep2
DRR032912	UCB_Xtro_10.0	st37.5	EXPANDE_st37.5_rep1
DRR032913	UCB_Xtro_10.0	st37.5	EXPANDE_st37.5_rep2
GSM1606175	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchA_polyA_0_hpf
GSM1606271	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchA_ribozero_0_hpf
GSM1606319	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchB_polyA_0_hpf
GSM1606176	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchA_polyA_0.5_hpf
GSM1606273	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchA_ribozero_0.5_hpf
GSM1606320	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchB_polyA_0.5_hpf
GSM1606177	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchA_polyA_1_hpf
GSM1606284	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchA_ribozero_1_hpf
GSM1606321	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchB_polyA_1_hpf
GSM1606178	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchA_polyA_1.5_hpf
GSM1606295	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchA_ribozero_1.5_hpf
GSM1606322	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchB_polyA_1.5_hpf
GSM1606179	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchA_polyA_2_hpf
GSM1606306	UCB_Xtro_10.0	0-2hpf	OWENS_ClutchA_ribozero_2_hpf
