sample	assembly	stage	hpf	technical_replicates	descriptive_name
GSM3672579	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_1_D2
GSM3672580	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_1_C6
GSM3672581	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_1_B12
GSM3672582	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_1_D4
GSM3672583	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_1_A2
GSM3672584	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_1_D12
GSM3672585	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_2_E10
GSM3672586	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_2_H5
GSM3672587	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_2_F3
GSM3672588	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_2_F2
GSM3672589	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_2_H8
GSM3672590	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_2_H11
GSM3672591	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_2_G10
GSM3672592	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E1_2_F7
GSM3672593	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E2_B6
GSM3672594	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E2_E11
GSM3672595	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E2_D10
GSM3672596	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E2_D6
GSM3672597	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E2_H1
GSM3672598	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E2_E10
GSM3672599	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E2_D2
GSM3672600	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E2_E1
GSM3672601	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E2_C12
GSM3672602	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E2_H11
GSM3672603	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_C9
GSM3672604	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_F4
GSM3672605	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_A12
GSM3672606	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_C1
GSM3672607	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_A10
GSM3672608	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_D3
GSM3672609	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_G12
GSM3672610	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_C8
GSM3672611	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_A7
GSM3672612	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_A8
GSM3672613	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_B2
GSM3672614	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_F5
GSM3672615	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_H9
GSM3672616	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_G4
GSM3672617	BDGP6.32	2-3_hpf	2-3		embryo2-3h_E3_F11
GSM3672618	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E1_1_D9
GSM3672619	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E1_1_B7
GSM3672620	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E1_1_D10
GSM3672621	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E1_1_B10
GSM3672622	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E1_1_C10
GSM3672623	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E1_2_E2
GSM3672624	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E1_2_G11
GSM3672625	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E1_2_E6
GSM3672626	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E1_2_H7
GSM3672627	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_G9
GSM3672628	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_B8
GSM3672629	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_B3
GSM3672630	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_A9
GSM3672631	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_D7
GSM3672632	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_A11
GSM3672633	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_D9
GSM3672634	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_A4
GSM3672635	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_B7
GSM3672636	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_A7
GSM3672637	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_F10
GSM3672638	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_G4
GSM3672639	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_H8
GSM3672640	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_H7
GSM3672641	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_A3
GSM3672642	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E2_E12
GSM3672643	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_D1
GSM3672644	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_D6
GSM3672645	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_G2
GSM3672646	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_B9
GSM3672647	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_G7
GSM3672648	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_A2
GSM3672649	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_D5
GSM3672650	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_H10
GSM3672651	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_E4
GSM3672652	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_B1
GSM3672653	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_G3
GSM3672654	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_D4
GSM3672655	BDGP6.32	5-6_hpf	5-6		embryo5-6h_E3_F12
GSM3672656	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_D5
GSM3672657	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_C3
GSM3672658	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_C8
GSM3672659	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_B8
GSM3672660	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_A12
GSM3672661	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_D7
GSM3672662	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_B9
GSM3672663	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_C11
GSM3672664	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_C4
GSM3672665	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_A3
GSM3672666	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_1_C5
GSM3672667	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_2_H10
GSM3672668	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_2_E9
GSM3672669	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_2_E1
GSM3672670	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_2_H4
GSM3672671	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_2_H9
GSM3672672	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_2_G5
GSM3672673	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_2_H12
GSM3672674	BDGP6.32	8-9_hpf	8-9		embryo8-9h_E1_2_G7
