sample	assembly	stage	hpf	technical_replicates	descriptive_name
SRR800037	GRCz11	Eggs			Eggs_rep1
SRR800038	GRCz11	Eggs			Eggs_rep2
SRR748489	GRCz11	Eggs			Eggs_rep3
SRR1524247	GRCz11	Eggs			Eggs_rep4
SRR372787	GRCz11	2-4cells			2-4cells_rep1
SRR372788	GRCz11	2-4cells			2-4cells_rep2
GSM2837572	GRCz11	2hpf			2hpf_rep1
SRR372789	GRCz11	1Kcells			1Kcells_rep1
SRR372790	GRCz11	1Kcells			1Kcells_rep2
SRR372791	GRCz11	Dome			Dome_rep1
SRR372792	GRCz11	Dome			Dome_rep2
SRR372793	GRCz11	Shield			Shield_rep1
SRR372794	GRCz11	Shield			Shield_rep2
SRR372795	GRCz11	Shield			Shield_rep3
GSM2837578	GRCz11	8hpf			8hpf__rep1
SRR372796	GRCz11	Bud			Bud_rep1
SRR372797	GRCz11	Bud			Bud_rep2
GSM2837568	GRCz11	12hpf			12hpf_rep1
GSM2837569	GRCz11	16hpf			16hpf_rep1
GSM2837570	GRCz11	20hpf			20hpf_rep1
GSM2837571	GRCz11	26hpf			26hpf_rep1
SRR372798	GRCz11	28hpf			28hpf_rep1
SRR372799	GRCz11	28hpf			28hpf_rep2
SRR372800	GRCz11	48hpf			48hpf_rep1
SRR372801	GRCz11	48hpf			48hpf_rep2
SRR519720	GRCz11	48hpf			48hpf_rep3
SRR519721	GRCz11	48hpf			48hpf_rep4
SRR2013982	GRCz11	48hpf			48hpf_rep5
SRR2013983	GRCz11	48hpf			48hpf_rep6
SRR2013984	GRCz11	48hpf			48hpf_rep7
ERR022487	GRCz11	48hpf			48hpf_rep8
ERR003998	GRCz11	48hpf			48hpf_rep9
SRR1524246	GRCz11	48hpf			48hpf_rep10
GSM2837575	GRCz11	48hpf			48hpf_rep11
GSM2837577	GRCz11	72hpf			72hpf_rep1
SRR372802	GRCz11	120hpf			120hpf_rep1
SRR372803	GRCz11	120hpf			120hpf_rep2
ERR022482	GRCz11	120hpf			120hpf_rep3
ERR022483	GRCz11	120hpf			120hpf_rep4
SRR1291414	GRCz11	120hpf			120hpf_rep5
SRR1291415	GRCz11	120hpf			120hpf_rep6
SRR1291416	GRCz11	120hpf			120hpf_rep7
SRR630464	GRCz11	120hpf			120hpf_rep8
SRR630466	GRCz11	120hpf			120hpf_rep9
SRR630468	GRCz11	120hpf			120hpf_rep10
SRR630470	GRCz11	120hpf			120hpf_rep11
SRR519736	GRCz11	7dpf			7dpf_rep1
SRR519733	GRCz11	7dpf			7dpf_rep2
SRR519734	GRCz11	7dpf			7dpf_rep3
GSM2837551	BraLan2	Eggs			eggs_rep1
GSM2837552	BraLan2	Eggs			eggs_rep2
GSM2837532	BraLan2	32cells			32cells_rep1
GSM2837533	BraLan2	32cells			32cells_rep2
GSM2837534	BraLan2	32cells			32cells_rep3
GSM2837535	BraLan2	32cells			32cells_rep4
GSM2837536	BraLan2	32cells			32cells_rep5
GSM2837548	BraLan2	Blastula			Blastula_rep1
GSM2837549	BraLan2	Blastula			Blastula_rep2
GSM2837544	BraLan2	7hpf			7hpf_rep1
GSM2837545	BraLan2	7hpf			7hpf_rep2
GSM2837546	BraLan2	8hpf			8hpf_rep1
GSM2837547	BraLan2	8hpf			8hpf_rep2
GSM2837516	BraLan2	10hpf			10hpf_rep1
GSM2837517	BraLan2	10hpf			10hpf_rep2
GSM2837520	BraLan2	15hpf			15hpf_rep1
GSM2837521	BraLan2	15hpf			15hpf_rep2
GSM2837522	BraLan2	15hpf			15hpf_rep3
GSM2837523	BraLan2	15hpf			15hpf_rep4
GSM2837524	BraLan2	18hpf			18hpf_rep1
GSM2837525	BraLan2	18hpf			18hpf_rep2
GSM2837526	BraLan2	21hpf			21hpf_rep1
GSM2837527	BraLan2	21hpf			21hpf_rep2
GSM2837528	BraLan2	24hpf			24hpf_rep1
GSM2837529	BraLan2	24hpf			24hpf_rep2
GSM2837530	BraLan2	27hpf			27hpf_rep1
GSM2837531	BraLan2	27hpf			27hpf_rep2
GSM2837537	BraLan2	36hpf			36hpf_rep1
GSM2837538	BraLan2	36hpf			36hpf_rep2
GSM2837539	BraLan2	36hpf			36hpf_rep3
GSM2837540	BraLan2	50hpf			50hpf_rep1
GSM2837541	BraLan2	50hpf			50hpf_rep2
GSM2837542	BraLan2	60hpf			60hpf_rep1
GSM2837543	BraLan2	60hpf			60hpf_rep2
GSM2837567	BraLan2	Premet			Premet_rep1
